
        AX        AY        AZ         WX        WY        WZ     AngleX    AngleY    AngleZ
      0.05      0.00      0.14       0.00      0.00      0.00       1.84    -20.68      1.77  
      0.05      0.01      0.14      -0.00     -0.00     -0.00       1.85    -20.70      1.75  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.86    -20.72      1.77  
      0.05      0.00      0.14      -0.00      0.00     -0.00       1.83    -20.72      1.76  
      0.05      0.00      0.14       0.00      0.00      0.00       1.83    -20.73      1.77  
      0.06      0.01      0.14       0.00     -0.00      0.00       1.84    -20.76      1.79  
      0.05      0.00      0.14       0.00      0.00      0.00       1.84    -20.75      1.81  
      0.05      0.00      0.14      -0.00      0.00     -0.00       1.83    -20.75      1.81  
      0.06      0.00      0.14       0.00     -0.00      0.00       1.82    -20.80      1.86  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.81    -20.78      1.86  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.82    -20.80      1.88  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.81    -20.82      1.90  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.80    -20.84      1.92  
      0.05      0.01      0.14       0.00      0.00     -0.00       1.82    -20.81      1.92  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.82    -20.86      1.94  
      0.06      0.00      0.14      -0.00      0.00     -0.00       1.79    -20.86      1.94  
      0.05      0.00      0.14       0.00      0.00     -0.00       1.81    -20.84      1.93  
      0.06      0.01      0.14       0.00     -0.00      0.00       1.81    -20.89      1.95  
      0.06      0.00      0.14       0.00     -0.00      0.00       1.83    -20.90      1.96  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.79    -20.90      1.96  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.77    -20.90      1.98  
      0.06      0.01      0.14       0.00     -0.00      0.00       1.81    -20.94      1.99  
      0.05      0.00      0.14       0.00      0.00      0.00       1.82    -20.93      2.01  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.75    -20.95      2.02  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.72    -20.96      2.03  
      0.06      0.01      0.14       0.00      0.00      0.00       1.76    -20.97      2.05  
      0.05      0.00      0.14       0.00      0.00      0.00       1.79    -20.97      2.08  
      0.05      0.00      0.14      -0.00     -0.00     -0.00       1.76    -21.00      2.08  
      0.06      0.00      0.14      -0.00      0.00      0.00       1.71    -21.00      2.11  
      0.05      0.00      0.14       0.00      0.00     -0.00       1.74    -21.01      2.10  
      0.05      0.00      0.14       0.00      0.00      0.00       1.75    -21.01      2.13  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.72    -21.04      2.15  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.69    -21.01      2.16  
      0.05      0.00      0.13       0.00     -0.00      0.00       1.71    -21.06      2.18  
      0.05      0.00      0.14       0.00      0.00      0.00       1.72    -21.03      2.21  
      0.06      0.00      0.14      -0.00     -0.00      0.00       1.71    -21.08      2.21  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.70    -21.04      2.22  
      0.05      0.00      0.13       0.00     -0.00      0.00       1.72    -21.08      2.24  
      0.05      0.00      0.14      -0.00      0.00     -0.00       1.71    -21.07      2.24  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.72    -21.08      2.24  
